show_id,title,director,country,listed_in
s160,Love in a Puff,Pang Ho-cheung,Hong Kong,Comedies
s160,Love in a Puff,Pang Ho-cheung,Hong Kong,Dramas
s160,Love in a Puff,Pang Ho-cheung,Hong Kong,International Movies
s161,Major Dad,,United States,TV Comedies
s162,Mars Attacks!,Tim Burton,United States,Comedies
s162,Mars Attacks!,Tim Burton,United States,Cult Movies
s162,Mars Attacks!,Tim Burton,United States,Sci-Fi & Fantasy
s163,Marshall,Reginald Hudlin,United States,Dramas
s163,Marshall,Reginald Hudlin,China,Dramas
s163,Marshall,Reginald Hudlin,Hong Kong,Dramas
s164,My Boss's Daughter,David Zucker,United States,Comedies
s164,My Boss's Daughter,David Zucker,United States,Romantic Movies
s165,Mystery Men,Kinka Usher,United States,Action & Adventure
s165,Mystery Men,Kinka Usher,United States,Comedies
s166,Oldsters,,,Crime TV Shows
s166,Oldsters,,,International TV Shows
s166,Oldsters,,,Spanish-Language TV Shows
s167,Once Upon a Time in America,Sergio Leone,Italy,Classic Movies
s167,Once Upon a Time in America,Sergio Leone,Italy,Dramas
s167,Once Upon a Time in America,Sergio Leone,United States,Classic Movies
s167,Once Upon a Time in America,Sergio Leone,United States,Dramas
s168,Open Season 2,Matthew O'Callaghan,United States,Children & Family Movies
s168,Open Season 2,Matthew O'Callaghan,United States,Comedies
s168,Open Season 2,Matthew O'Callaghan,Canada,Children & Family Movies
s168,Open Season 2,Matthew O'Callaghan,Canada,Comedies
s168,Open Season 2,Todd Wilderman,United States,Children & Family Movies
s168,Open Season 2,Todd Wilderman,United States,Comedies
s168,Open Season 2,Todd Wilderman,Canada,Children & Family Movies
s168,Open Season 2,Todd Wilderman,Canada,Comedies
s169,Osmosis Jones,Bobby Farrelly,United States,Action & Adventure
s169,Osmosis Jones,Bobby Farrelly,United States,Children & Family Movies
s169,Osmosis Jones,Bobby Farrelly,United States,Comedies
s169,Osmosis Jones,Peter Farrelly,United States,Action & Adventure
s169,Osmosis Jones,Peter Farrelly,United States,Children & Family Movies
s169,Osmosis Jones,Peter Farrelly,United States,Comedies
s170,Poseidon,Wolfgang Petersen,United States,Action & Adventure
s170,Poseidon,Wolfgang Petersen,United States,Dramas
s171,Rhyme & Reason,Peter Spirer,United States,Documentaries
s171,Rhyme & Reason,Peter Spirer,United States,Music & Musicals
s172,Same Kind of Different as Me,Michael Carney,United States,Dramas
s172,Same Kind of Different as Me,Michael Carney,United States,Faith & Spirituality
s173,School of Rock,Richard Linklater,United States,Comedies
s173,School of Rock,Richard Linklater,United States,Music & Musicals
s173,School of Rock,Richard Linklater,Germany,Comedies
s173,School of Rock,Richard Linklater,Germany,Music & Musicals
s174,Snervous Tyler Oakley,Amy Rice,United States,Documentaries
s174,Snervous Tyler Oakley,Amy Rice,United States,LGBTQ Movies
s175,Tears of the Sun,Antoine Fuqua,United States,Action & Adventure
s175,Tears of the Sun,Antoine Fuqua,United States,Dramas
s176,The Blue Lagoon,Randal Kleiser,United States,Dramas
s176,The Blue Lagoon,Randal Kleiser,United States,Romantic Movies
s177,The Golden Child,Michael Ritchie,United States,Action & Adventure
s177,The Golden Child,Michael Ritchie,United States,Comedies
s178,The Guns of Navarone,J. Lee Thompson,United Kingdom,Action & Adventure
s178,The Guns of Navarone,J. Lee Thompson,United Kingdom,Classic Movies
s178,The Guns of Navarone,J. Lee Thompson,United States,Action & Adventure
s178,The Guns of Navarone,J. Lee Thompson,United States,Classic Movies
s179,The Interview,Evan Goldberg,United States,Action & Adventure
s179,The Interview,Evan Goldberg,United States,Comedies
s179,The Interview,Seth Rogen,United States,Action & Adventure
s179,The Interview,Seth Rogen,United States,Comedies
s180,The Nutty Professor,Tom Shadyac,United States,Comedies
s180,The Nutty Professor,Tom Shadyac,United States,Romantic Movies
s181,The Nutty Professor II: The Klumps,Peter Segal,,Comedies
s181,The Nutty Professor II: The Klumps,Peter Segal,,Romantic Movies
s182,Turning Point: 9/11 and the War on Terror,,,Docuseries
s183,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,Comedies
s184,In the Line of Fire,Wolfgang Petersen,United States,Action & Adventure
s184,In the Line of Fire,Wolfgang Petersen,United States,Classic Movies
s185,Sparking Joy,,United States,Reality TV
s186,Untold: Crime & Penalties,Chapman Way,,Documentaries
s186,Untold: Crime & Penalties,Chapman Way,,Sports Movies
s186,Untold: Crime & Penalties,Maclain Way,,Documentaries
s186,Untold: Crime & Penalties,Maclain Way,,Sports Movies
s187,Hometown Cha-Cha-Cha,,,International TV Shows
s187,Hometown Cha-Cha-Cha,,,Romantic TV Shows
s187,Hometown Cha-Cha-Cha,,,TV Comedies
s188,The Ingenuity of the Househusband,,,International TV Shows
s188,The Ingenuity of the Househusband,,,TV Comedies
s189,2 Alone in Paris,Ramzy Bedia,France,Comedies
s189,2 Alone in Paris,Ramzy Bedia,France,International Movies
s189,2 Alone in Paris,Éric Judor,France,Comedies
s189,2 Alone in Paris,Éric Judor,France,International Movies
s190,Bread Barbershop,,,Kids' TV
s190,Bread Barbershop,,,TV Comedies
s191,Thimmarusu,Sharan Koppisetty,India,Dramas
s191,Thimmarusu,Sharan Koppisetty,India,International Movies
s192,Wind River,Taylor Sheridan,United Kingdom,Dramas
s192,Wind River,Taylor Sheridan,United Kingdom,Independent Movies
s192,Wind River,Taylor Sheridan,Canada,Dramas
s192,Wind River,Taylor Sheridan,Canada,Independent Movies
s192,Wind River,Taylor Sheridan,United States,Dramas
s192,Wind River,Taylor Sheridan,United States,Independent Movies
s193,C Kkompany,Sachin Yardi,India,Action & Adventure
s193,C Kkompany,Sachin Yardi,India,Comedies
s193,C Kkompany,Sachin Yardi,India,International Movies
s194,D.P.,,,International TV Shows
s194,D.P.,,,TV Dramas
s194,D.P.,,South Korea,International TV Shows
s194,D.P.,,South Korea,TV Dramas
s195,Deadly Sins,,,International TV Shows
s195,Deadly Sins,,,Spanish-Language TV Shows
s195,Deadly Sins,,,TV Dramas
s196,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,Comedies
s196,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,Dramas
s196,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,International Movies
s197,He's All That,Mark Waters,,Comedies
s197,He's All That,Mark Waters,,Romantic Movies
s198,I Heart Arlo,,,Kids' TV
s198,I Heart Arlo,,,TV Comedies
s199,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,Crime TV Shows
s199,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,International TV Shows
s199,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,TV Dramas
s200,Koi Aap Sa,Partho Mitra,India,Comedies
s200,Koi Aap Sa,Partho Mitra,India,Dramas
s200,Koi Aap Sa,Partho Mitra,India,International Movies
